CY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
1960,11.18822886,10.68685414,21.07519174,21.18899197,21.58584785,21.25470593,8.534376912,8.615252093,8.790314241,20.54072745,20.05375872,20.6648109,19.46812193,20.66288828,21.10286144,14.34939045,13.58049707,14.34419946,13.77617351,8.84740314,8.498750757,12.47719204,12.4815672,16.64158451,16.81145,16.96775808,16.15107314,15.9547298,16.69458881,16.47432004,11.46478949,11.68897815,11.57097848,12.1997953,18.95073574,18.18652187,18.1261729,17.5787564,10.35040863,9.773758036,10.56070687,10.02629351,20.86255252,21.81416331,21.9687336,22.37998461,26.16764396,11.61662791,11.31164606,11.7786316,11.79524493,11.63853933,22.10679753,21.45178241,22.03036586,21.53049459,13.3723084,13.62384006,23.5273302,11.11056706,10.76762432,16.00147256,16.21752159,16.10426579,16.62851744,15.7319958,15.72089217,16.3255411,16.12614123,16.18051184,16.72224536,9.089460456,9.054561739,9.38600757,9.476843306,22.46129581,21.49750528,21.74775025,21.1993658,13.18448785,13.11774506,12.9319874,15.69850393,15.707784,16.09239035,16.4639161,15.93821516,16.06998643,12.75476067,12.88207783,13.26946266,12.92395148,19.82552291,19.8526038,23.37825737,24.26569757,23.12444813
1961,19.66583587,19.7928427,14.9820794,14.82008352,14.63396309,14.88862207,9.503366678,9.824848998,9.606398162,17.85896128,17.40088552,17.65144911,16.92133075,11.50748934,11.2672966,13.44160086,13.46762912,13.10993576,13.43911771,10.36476906,9.769296754,11.92303843,11.37697841,11.59881406,11.76704337,11.20086627,11.44011991,12.04835074,12.08889901,11.90117151,24.72876329,24.81310661,25.83221276,24.56345812,20.48448859,21.78310017,21.53308887,21.5582012,10.09505837,10.45206938,10.27077493,10.29210397,24.98861927,23.93614576,24.06337137,23.78921504,11.36892841,8.336697243,8.719566526,7.961941309,7.970137607,10.99776355,15.14081568,14.90692078,14.95930161,14.48866889,21.39610739,21.42024902,21.37178711,9.70054919,10.06660532,12.34381609,12.2385839,12.38888577,12.49821866,15.6824322,15.39418871,20.09892883,19.13926399,19.86021461,20.35950218,10.39587844,10.8234333,11.10157275,10.91233109,15.7016427,16.65002426,16.00848827,16.05354272,7.783649554,7.375250876,7.642599471,14.60344128,14.06297818,14.17501319,20.12396571,19.30146165,20.4022967,17.98665523,18.18339503,18.59975534,18.08355402,14.13945578,14.8422522,21.63345033,21.46690487,21.42590561
1962,19.95449209,20.59893271,15.53907737,15.28377759,15.66040358,15.32950937,16.26442457,15.95206554,16.88468561,21.94071596,22.06889641,21.18081416,22.3829278,12.82376729,12.92323759,21.89747201,22.89304784,21.95164062,22.0637429,19.08999189,18.49663632,10.12567551,10.12939101,5.804837435,5.558084112,6.060594744,5.636713765,16.49613247,16.60038222,15.94308313,20.17426266,19.95162085,21.1401025,19.80070982,27.44995682,26.31702926,27.36102974,26.94572936,14.45613178,14.36886446,15.01401289,14.71716206,9.626899617,9.216365355,9.028763187,9.34426205,11.8847549,5.798515458,5.942497944,5.968843101,5.906384053,15.5738332,11.8388668,11.98480108,12.00421964,12.5197367,15.12234474,14.64681544,17.27528446,27.25811708,27.12009788,11.24621665,10.99598456,10.89636081,11.39738354,7.599816575,8.066991788,11.33653486,11.54229023,11.74394684,11.67248852,12.06942133,12.22107104,12.40760832,12.29898432,21.08608719,20.93068641,19.90790233,21.87401984,16.73241618,16.7356702,16.23878218,15.96341814,16.54745988,15.6551395,15.07778682,14.5799622,14.4873911,10.4617852,10.84693236,10.31900194,10.2942429,13.25494955,13.11207636,17.37427674,17.76864639,17.43797421
1963,17.66028754,18.00084466,9.78818521,9.517428853,9.39265805,9.642189402,8.426363901,8.293881521,8.699613798,13.5934827,13.09377227,13.22627687,13.69354143,10.3295069,10.57934957,13.66146664,13.87229556,13.99348169,13.91242143,23.0738691,23.12252654,23.28361956,22.02112286,13.73076355,13.83855997,14.27459496,13.58087679,16.70805386,17.03060249,16.64765974,15.01827338,15.62756582,15.43064083,15.32207121,11.25178856,10.99659749,10.79436861,10.84663281,15.23149184,14.65859855,14.78711062,14.74112061,13.9538331,13.19194497,13.97250216,14.13943484,13.34004688,11.17475219,11.16711467,11.35194998,11.39040073,12.57125006,12.65977985,12.45464787,12.4090321,12.60336534,13.2631344,13.37715663,12.37298612,14.49453707,14.79492192,9.258303471,9.324939689,9.562287808,9.335053329,10.93130475,11.14908655,11.28717548,11.32636439,11.16583089,11.67473677,12.45552206,13.01538238,12.74320227,12.82917739,26.64761847,25.82947777,24.60343226,24.9640901,34.05118727,33.5638661,33.61973137,11.40396841,11.34371022,11.4197662,17.56337659,17.00133558,17.17328686,11.33339488,11.4236021,11.43945059,11.67687548,7.065300218,6.570724582,12.4875171,12.17209077,12.12929518
1964,15.5385597,15.6452688,10.40571251,10.46396251,10.35187517,10.391825,17.60724599,17.67736036,17.78326128,12.31968902,11.87741006,12.1003319,12.16065134,11.98862763,11.5566882,17.51803938,16.64799983,17.26168742,17.81557494,16.77344852,16.743948,20.68870824,21.0832366,18.94148842,18.11280768,18.00407702,18.69379353,11.813429,11.79735035,11.31823898,19.86930837,19.82589124,20.39594485,19.83813806,7.609114314,8.035005203,7.521793369,7.741656079,8.69942759,8.597812007,9.314891861,8.767924483,16.12192213,16.7414141,15.32908042,14.90501605,14.52699654,14.26261571,14.62038966,14.2152666,14.89167257,14.72014072,7.587714307,7.683340145,7.815364185,7.384210869,10.86801594,11.2896258,12.74927105,11.2747779,11.1178245,18.50380235,18.75415398,18.15239284,18.06964661,19.20184092,19.09589512,13.29676957,13.09356343,12.6673653,12.8464723,12.34203404,13.20761982,12.9047933,12.77301723,12.59648023,12.82819127,12.31389709,12.07409496,42.34764468,42.75228333,42.08297946,14.55840839,14.18962467,14.93002374,15.03377161,15.86446435,15.49390705,15.86230721,15.27631206,15.99998775,16.47889805,17.64145365,17.92869414,12.6517969,13.21469165,12.71381782
1965,11.18561962,11.24490716,8.877130493,8.754120873,8.834963405,8.689065283,18.40262874,18.30298794,18.17154532,16.85573417,16.43313786,16.6988902,16.82998441,17.77445425,17.664324,19.76354797,20.64072821,19.3069417,20.35341384,12.65375177,12.90312982,14.97050019,14.76622584,20.45891994,20.53995386,19.49479928,19.65963824,14.89533423,14.8426318,15.10919744,11.175814,10.80518703,11.38501607,11.17319304,18.63091569,18.99531197,18.55491911,17.91399479,17.466895,18.56904345,18.44769729,17.98251443,16.99636024,17.459114,17.38974744,17.57125503,14.88968045,18.21085073,17.43723566,18.77538861,18.2630492,16.76710399,13.51512859,13.68476975,12.78132831,13.17952895,14.86348828,16.06851066,11.63021572,16.98716854,15.72061101,26.31517648,26.25604136,26.53379764,25.7888933,16.45165775,16.74955906,36.52099226,38.10457916,38.08000725,38.94060303,15.39255531,14.71590196,15.45547434,15.17895066,13.46563775,13.68415779,13.44994024,13.50612367,19.55417706,18.38449543,18.74266247,7.696315775,7.650032033,7.920109944,14.0413124,14.21371821,14.20274908,13.40722786,13.4709774,13.21175544,13.4011134,9.049604132,8.879531167,10.98059389,11.22532173,10.81328749
1966,13.26627733,13.39231622,10.78390905,10.68114417,10.52488026,10.61402122,20.98040809,20.6942238,21.67328202,9.645408754,9.67062841,9.876307993,9.822839464,12.06872926,12.31288068,14.46757329,14.83710611,14.55293355,14.07934695,13.57595911,13.80965605,19.30176303,19.39956793,7.617094453,7.020187874,7.246954136,7.254459868,14.57208609,14.54685394,13.97641847,13.34739088,14.0127648,14.83184491,14.08019028,15.38747921,15.58135686,15.53691433,15.35399589,18.43574926,18.6757516,18.00024998,18.37925744,20.24031197,19.86365054,19.59372611,20.05963452,27.2852833,21.93756282,21.5632446,21.95643001,21.72885223,11.8381175,22.97306908,22.8251758,23.30909385,21.92087167,13.59949946,14.60058849,8.280880602,16.59183465,16.46776554,15.29093145,14.3164106,14.33705445,14.27603905,14.84909849,14.58988506,16.25223394,16.09050986,16.29291106,16.38621076,21.25080512,21.47507217,21.24308045,20.64232951,23.04625541,23.4371184,24.16667796,24.14856964,17.74612568,17.72457404,17.37252615,13.68611816,14.20317203,13.65141318,14.45354368,14.45835396,14.17768643,13.21270776,13.51265336,13.19224132,13.25316688,11.7876934,11.95960558,7.718436317,8.033332661,7.838724079
1967,11.45776721,12.17807702,16.08361797,16.30207258,15.92222168,16.17046786,12.98499223,12.65931271,12.12842461,8.22180724,8.208013289,8.456376972,8.025389494,5.283868621,5.292199914,10.09428173,10.27246679,10.68598112,10.15904085,21.17894648,21.5020294,20.01281343,19.50111055,5.869470347,5.664253468,5.606591663,5.40479996,13.86376899,14.27269006,14.13161889,12.49999829,12.49312399,12.16755935,12.12706395,13.66324552,13.96925818,13.77289718,13.34203692,10.76180011,11.07660351,10.88635464,10.63986339,10.56056099,10.36536914,10.48982293,10.3697738,10.51310799,21.21131246,22.06156548,21.33317851,21.1659018,21.19357375,15.03932378,15.14820756,15.00824206,15.41011674,13.99550503,13.64062262,13.67283816,16.53520709,17.69773726,9.268025256,9.315098083,8.840078757,9.389496853,13.95745591,13.29774797,12.79432471,12.66567116,12.29623248,13.12650904,17.40814334,17.09636902,16.78371201,17.24475144,19.21569969,20.66628143,20.53027952,19.52992401,10.61045199,10.873161,10.88826559,14.01598393,14.951218,14.58065792,9.465270149,9.433023352,9.510958274,20.26453115,20.49797147,20.15446653,19.99602266,17.55734057,17.31758767,14.45935283,14.52586221,13.90123398
1968,24.33111368,24.71825427,6.491227815,6.317890036,6.535784826,6.336008231,19.77915663,18.85696602,19.02588526,23.22592733,23.50190922,23.57621829,24.13425352,21.80525607,21.16886971,20.05739794,19.98092269,19.69705117,20.46363372,8.836631802,8.625025607,18.15725345,18.66203187,24.42998053,24.4096468,24.17206935,23.61870428,11.58592516,11.54872223,11.90711407,20.71494371,20.43439113,21.34727131,20.45819351,19.93000463,20.52535993,20.47736547,19.69880095,9.952881421,10.32751148,9.895060602,9.532079484,8.707984463,8.493332945,8.802187855,8.35757159,11.55997156,16.63764369,16.96539082,16.60847042,16.74051074,18.12180682,22.03546572,22.40382242,21.66873215,22.35351683,14.95050216,15.00829948,15.62990678,20.66239065,20.31605607,8.245965283,8.203716496,8.595607954,8.338749243,12.12003078,11.94050934,13.7336759,13.05291209,13.80948208,13.48329663,17.48018075,17.81709027,18.1200672,17.78888588,21.67654804,21.55912713,21.73677166,22.42754517,9.245824721,9.468475993,9.103016192,9.511534374,8.641440932,9.086296324,14.37372345,15.08119008,15.1151044,16.49073806,17.12965757,16.93213252,17.23280097,8.984070883,9.352124707,16.15245933,16.80030867,15.55038315
1969,17.74073143,18.08305839,12.04736452,12.12583008,12.04726203,12.45626253,12.15775156,12.46393269,12.31533947,22.09140466,21.80101791,21.19284442,22.40210844,18.19974442,17.72170858,22.61596413,22.61867125,22.0321422,22.38629306,12.6388676,12.66422448,12.80690596,13.04715439,18.09871263,18.67286934,18.46660247,18.93181928,12.27957733,12.31262509,11.51810079,13.21890242,13.00046303,13.18141006,13.30364731,18.30964937,18.22625484,18.78136122,17.99439691,7.365374579,7.259005051,7.479621878,7.06628394,11.37456163,11.53554958,10.84168655,11.07276474,13.92295987,16.60879345,17.36645413,16.72543426,16.74659203,14.45818861,14.53616047,14.87141131,14.62402084,14.41515773,15.51240545,15.72161589,17.99246422,21.57819558,21.15562445,7.180786374,7.433505203,7.760438757,7.359521177,16.14448038,15.98828438,10.10550266,10.4146988,10.46606501,9.849131841,10.12634247,10.16796611,10.20529,10.14885074,17.18137131,16.78263265,16.98119413,16.71070528,8.743096483,8.724809058,8.620028688,16.02119282,15.39039761,16.22168985,16.39158778,16.60702338,15.92575494,15.70244225,15.86509581,16.03407913,16.64295023,19.02243283,19.04014778,17.9935749,17.68449062,18.08688224
