date,ESP Most,ESP Min,ESP Max,24MS MOST PROB,24MS MIN PROB,24MS MAX PROB,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
2027-06-01,632290.0,577000.0,745000.0,676000.0,577000.0,850000.0,1494280.0,598810.0,663000.0,500000.0,663000.0,652580.0,577000.0,631440.0,500000.0,500000.0,1024420.0000000001,1189640.0,644010.0,753530.0,577000.0,577000.0,686780.0,577000.0,991390.0,500000.0,577000.0,577000.0,634100.0,624500.0,798000.0,663000.0,1323860.0,598930.0,663000.0,577000.0
2027-07-01,714310.0,652000.0,842000.0,764000.0,652000.0,950000.0,736580.0,652000.0,796220.0,560000.0,842000.0,737230.0,652000.0,713340.0,560000.0,560000.0,902000.0,652000.0,727550.0,749000.0,652000.0,652000.0,776200.0,652000.0,652000.0,560000.0,652000.0,652000.0,679360.0,705050.0,902000.0,842000.0,902000.0,652000.0,842000.0,652000.0
2027-08-01,762940.0,696000.0,963000.0,816000.0,696000.0,990000.0,432280.0,696000.0,900000.0,600000.0,900000.0,787430.0,696000.0,761910.0,600000.0,600000.0,963000.0,696000.0,777090.0,900000.0,696000.0,696000.0,829670.0,696000.0,696000.0,600000.0,696000.0,696000.0,726310.0,753780.0,963000.0,900000.0,963000.0,493760.0,900000.0,481730.0
2027-09-01,572210.0,522000.0,674000.0,615587.0,522000.0,670560.0,417420.0,388030.0,600000.0,450000.0,600000.0,590570.0,522000.0,571440.0,450000.0,450000.0,722000.0,522000.0,582820.0,600000.0,522000.0,522000.0,621330.0,427070.0,522000.0,450000.0,388030.0,388030.0,544250.0,564840.0,722000.0,600000.0,692300.0,388030.0,600000.0,388030.0
2027-10-01,643000.0,480000.0,480000.0,643000.0,480000.0,480000.0,400960.0,400960.0,480000.0,400960.0,480000.0,643000.0,480000.0,480000.0,400960.0,410000.0,480000.0,643000.0,480000.0,480000.0,643000.0,480000.0,480000.0,491290.0,480000.0,410000.0,410000.0,439110.0,480000.0,480000.0,480000.0,480000.0,480000.0,400960.0,480000.0,400960.0
2027-11-01,642000.0,500000.0,500000.0,642000.0,500000.0,500000.0,388030.0,388030.0,500000.0,388030.0,500000.0,642000.0,500000.0,500000.0,388030.0,430000.0,500000.0,613020.0,500000.0,500000.0,642000.0,500000.0,500000.0,500170.0,480930.0,430000.0,430000.0,388030.0,500000.0,500000.0,500000.0,500000.0,500000.0,388030.0,500000.0,388030.0
2027-12-01,715000.0,600000.0,600000.0,715000.0,600000.0,600000.0,400960.0,400960.0,600000.0,400960.0,600000.0,715000.0,600000.0,600000.0,400960.0,510000.0,600000.0,400960.0,600000.0,600000.0,400960.0,600000.0,600000.0,400960.0,400960.0,510000.0,510000.0,400960.0,600000.0,600000.0,600000.0,600000.0,600000.0,400960.0,600000.0,400960.0
2028-01-01,857000.0,561640.0,723000.0,800000.0,800000.0,723000.0,400960.0,400960.0,723000.0,400960.0,723000.0,919000.0,439580.0,812290.0,400960.0,570000.0,723000.0,400960.0,762850.0,723000.0,400960.0,767720.0,723000.0,444700.0,400960.0,570000.0,570000.0,400960.0,751400.0,723000.0,723000.0,723000.0,723000.0,400960.0,723000.0,400960.0
2028-02-01,675000.0,407920.0,639000.0,660000.0,700000.0,639000.0,375090.0,375090.0,639000.0,375090.0,639000.0,813000.0,375090.0,718460.0,375090.0,500000.0,639000.0,375090.0,674870.0,639000.0,375090.0,679030.0,639000.0,548170.0,375090.0,500000.0,500000.0,375090.0,664740.0,639000.0,639000.0,639000.0,639000.0,375090.0,639000.0,375090.0
2028-03-01,679060.0,497620.0,675000.0,690000.0,740000.0,675000.0,400960.0,400960.0,675000.0,400960.0,675000.0,858000.0,408770.0,759210.0,400960.0,530000.0,675000.0,400960.0,712860.0,675000.0,400960.0,717550.0,675000.0,560290.0,400960.0,530000.0,530000.0,400960.0,702160.0,675000.0,675000.0,675000.0,675000.0,400960.0,675000.0,400960.0
2028-04-01,668940.0,722370.0,601000.0,660000.0,660000.0,601000.0,463680.0,388030.0,601000.0,388030.0,601000.0,764000.0,579380.0,675800.0,388030.0,470000.0,601000.0,779480.0,633730.0,601000.0,388030.0,638720.0,601000.0,1104250.0,827520.0,470000.0,470000.0,388030.0,625350.0,601000.0,601000.0,601000.0,601000.0,627870.0,601000.0,935810.0
